Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000, 0, 0, 0, 0, 0, 0, 0, 0
0.575204000, 0, 0, 0, 0, 1, 0, 0, 0
0.575267750, 0, 0, 0, 0, 1, 0, 0, 1
0.575268000, 0, 0, 1, 0, 1, 0, 0, 1
0.575272250, 0, 0, 0, 0, 1, 0, 0, 1
0.575272500, 0, 0, 1, 0, 1, 0, 0, 1
0.575276250, 0, 0, 0, 0, 1, 0, 0, 1
0.575276500, 0, 1, 1, 0, 1, 0, 0, 1
0.575280000, 0, 0, 1, 0, 1, 0, 0, 1
0.575280250, 0, 0, 0, 0, 1, 0, 0, 1
0.575280500, 1, 1, 1, 0, 1, 0, 0, 1
0.575359500, 1, 1, 1, 0, 1, 1, 0, 1
0.575360250, 1, 1, 1, 0, 1, 0, 0, 1
0.575360500, 1, 1, 1, 0, 1, 1, 0, 1
0.575364250, 1, 1, 1, 0, 1, 0, 0, 1
0.575364500, 1, 1, 1, 0, 1, 1, 0, 1
0.707736500, 1, 1, 1, 0, 0, 1, 0, 1
0.707808500, 1, 0, 0, 0, 0, 1, 0, 1
0.707808750, 1, 1, 0, 0, 0, 1, 0, 1
0.707846000, 0, 0, 0, 0, 0, 1, 0, 1
0.707846250, 1, 0, 0, 0, 0, 1, 0, 1
0.707863000, 0, 0, 0, 0, 0, 1, 0, 0
0.707863250, 0, 0, 0, 0, 0, 1, 0, 1
0.707881500, 0, 0, 0, 0, 0, 1, 0, 0
0.708625000, 0, 0, 0, 1, 0, 1, 0, 0
0.711627250, 0, 0, 0, 0, 0, 1, 0, 0
0.714627750, 0, 1, 0, 0, 0, 1, 0, 0
0.715627250, 0, 1, 0, 1, 0, 1, 0, 0
0.718628000, 0, 1, 0, 0, 0, 1, 0, 0
0.722629250, 0, 1, 0, 1, 0, 1, 0, 0
0.725630000, 0, 1, 0, 0, 0, 1, 0, 0
0.728631000, 0, 1, 0, 0, 0, 1, 0, 1
0.728631750, 0, 0, 0, 0, 0, 1, 0, 1
0.729631250, 0, 0, 0, 1, 0, 1, 0, 1
0.732632000, 0, 0, 0, 0, 0, 1, 0, 1
0.735633000, 0, 0, 0, 0, 0, 1, 0, 0
0.736633250, 0, 0, 0, 1, 0, 1, 0, 0
0.739634000, 0, 0, 0, 0, 0, 1, 0, 0
0.742635000, 0, 0, 0, 0, 0, 1, 0, 1
0.742635250, 1, 0, 0, 0, 0, 1, 0, 1
0.743635250, 1, 0, 0, 1, 0, 1, 0, 1
0.746636000, 1, 0, 0, 0, 0, 1, 0, 1
0.749637000, 1, 0, 0, 0, 0, 1, 0, 0
0.749637500, 0, 0, 0, 0, 0, 1, 0, 0
0.750637250, 0, 0, 0, 1, 0, 1, 0, 0
0.753638000, 0, 0, 0, 0, 0, 1, 0, 0
0.756639250, 1, 0, 0, 0, 0, 1, 0, 0
0.756639750, 1, 1, 0, 0, 0, 1, 0, 0
0.757639250, 1, 1, 0, 1, 0, 1, 0, 0
0.760640000, 1, 1, 0, 0, 0, 1, 0, 0
0.763641500, 0, 1, 0, 0, 0, 1, 0, 0
0.763642000, 0, 0, 0, 0, 0, 1, 0, 0
0.764641250, 0, 0, 0, 1, 0, 1, 0, 0
0.767642000, 0, 0, 0, 0, 0, 1, 0, 0
0.770645500, 0, 0, 1, 0, 0, 1, 0, 0
0.771643250, 0, 0, 1, 1, 0, 1, 0, 0
0.774644000, 0, 0, 1, 0, 0, 1, 0, 0
0.777645250, 0, 0, 1, 0, 0, 1, 0, 1
0.777646500, 0, 0, 0, 0, 0, 1, 0, 1
0.778645250, 0, 0, 0, 1, 0, 1, 0, 1
0.781646250, 0, 0, 0, 0, 0, 1, 0, 1
0.784647000, 0, 0, 0, 0, 0, 1, 0, 0
0.785647250, 0, 0, 0, 1, 0, 1, 0, 0
0.788648250, 0, 0, 0, 0, 0, 1, 0, 0
0.841665000, 1, 0, 0, 0, 0, 1, 0, 0
0.841666000, 1, 0, 1, 0, 0, 1, 0, 0
0.841667500, 1, 0, 1, 0, 1, 1, 0, 0
0.842663750, 1, 0, 1, 1, 1, 1, 0, 0
0.845664500, 1, 0, 1, 0, 1, 1, 0, 0
0.848666750, 1, 0, 0, 0, 1, 1, 0, 0
0.849665750, 1, 0, 0, 1, 1, 1, 0, 0
0.852666500, 1, 0, 0, 0, 1, 1, 0, 0
